분류,제목,날짜_월,날짜_일,분기
건설ㆍ교통,불법주차로 힘듭니다,7,13,3
건설ㆍ교통,웨딩의 거리 주차요금,7,13,3
건설ㆍ교통,민간주차장 민원처리 불친절,7,12,3
건설ㆍ교통,횡단보도 설치 부탁드립니다 (2),7,10,3
건설ㆍ교통,산수시장 입구 대각선 주차 (1),7,10,3
건설ㆍ교통,현황도로 단독점유 / 차도 불법점유 (1),7,10,3
건설ㆍ교통,불법 주정차 단속 바랍니다,7,9,3
건설ㆍ교통,불법주정차 단속부탁드립니다.,7,8,3
건설ㆍ교통,충장로 명동약국 모퉁이 화분 및 간판 설치,7,8,3
건설ㆍ교통,학동 붕괴비리사건 규명,7,8,3
건설ㆍ교통,주차거울 설치,7,7,3
건설ㆍ교통,주민에게 불편을끼치는 물건적재 (1),7,6,3
건설ㆍ교통,금남로5가역 출구 물벼락 (1),7,6,3
건설ㆍ교통,일방로 주차문제,7,5,3
건설ㆍ교통,광주광역시 동구 충장로 102-11 명동약국,7,5,3
건설ㆍ교통,(대로)도로 노면 불량--위험합니다. (2),7,5,3
건설ㆍ교통,의재로 33번길 소방도로 불법주차 금지 및 거주자 우선 주차표시,7,5,3
건설ㆍ교통,"휠 및 타이어 손상에 대한 수리비용(1,129,370원) 입금 요청",7,4,3
건설ㆍ교통,푸른길분수공원 노점단속 부탁드립니다.,7,3,3
건설ㆍ교통,법원앞 택시 승강장 표지판 정비 (2),7,3,3
건설ㆍ교통,공사차량 자주 지나다녀서 도로 금이가서 도로포장요청,7,3,3
건설ㆍ교통,학동4구역 붕괴사고 (1),7,2,3
건설ㆍ교통,몇번 민원넣었다가 그간 바빠서 잊고 있다가 다시금 민원넣습니다 (1),7,1,3
건설ㆍ교통,도로반사경 설치 왜 안해주시나요,7,1,3
건설ㆍ교통,푸른길 두산위브 2차아파트 앞 도로 침하문제 해결바랍니다.,7,1,3
건설ㆍ교통,불법주정차,6,30,2
건설ㆍ교통,공영주차장 카드결제,6,30,2
건설ㆍ교통,통행불편 (1),6,30,2
건설ㆍ교통,산수동 도로공사에 대해,6,29,2
건설ㆍ교통,지산유원지 공용주차장에 전기차충전시설 만들어주시면 감사하겠습니다 (1),6,28,2
건설ㆍ교통,산수동 도로확장 공사 소음,6,28,2
건설ㆍ교통,불법 현수막 철거 (1),6,27,2
건설ㆍ교통,불법주정차 단속좀 해주세요,6,25,2
건설ㆍ교통,보행자를 위협하는 이중주차 실태를 고발합니다 (1),6,25,2
