가상번호,분류,제목,등록일자,처리상태
26350,환경ㆍ청소,양림로119번길21 건너편 무단투기가 자주 있습니다,작성일시 : 2021/10/26,답변완료
,,,,(처리완료)
26347,환경ㆍ청소,대인동 도야짬뽕 건물내흡연,작성일시 : 2021/10/26,답변완료
,,,,(처리완료)
26346,기타,동구청장님께,작성일시 : 2021/10/26,답변완료
,,,,(처리완료)
26339,건설ㆍ교통,파손된 포장도로 보수건,작성일시 : 2021/10/26,답변완료
,,,,(처리중)
26334,기타,위반 건축물에 대해서 2,작성일시 : 2021/10/26,답변완료
,,,,(처리완료)
26332,건설ㆍ교통,제발 교통영향 고려없는 획일적인 주차단속을 멈춰주세요,작성일시 : 2021/10/25,답변완료
,,,,(처리중)
26331,건설ㆍ교통,경양로 푸른길공원 횡단보도 현수막철거요청,작성일시 : 2021/10/25,답변완료
,,,,(처리중)
26330,기타,계림2동 주민센터관련,작성일시 : 2021/10/25,답변완료
,,,,(처리완료)
26325,환경ㆍ청소,불법광고판ㆍ제거바랍니다,작성일시 : 2021/10/25,답변완료
,,,,(처리중)
26324,도시ㆍ건축,비상계단공사 후,작성일시 : 2021/10/25,답변완료
,,,,(처리완료)
26322,환경ㆍ청소,소음,작성일시 : 2021/10/25,답변완료
,,,,(처리완료)
26321,건설ㆍ교통,동명동에 미양심 주민을 신고합니다. 조치 바랍니다.,작성일시 : 2021/10/23,답변완료
,,,,(처리중)
26320,기타,지적재조사 다툼과 분쟁의 기준이 무엇인가요?,작성일시 : 2021/10/23,답변완료
,,,,(처리완료)
26314,건설ㆍ교통,지원1동 모아미래도 앞 인도 설치 건의드립니다.,작성일시 : 2021/10/22,답변완료
,,,,(처리중)
26313,건설ㆍ교통,학교 앞 CCTV설치요망,작성일시 : 2021/10/22,답변완료
,,,,(처리중)
26310,건설ㆍ교통,골목길 포장을 요청한 주민 의견입니다,작성일시 : 2021/10/22,답변완료
,,,,(처리중)
26309,공원ㆍ체육,주민을 칭찬합니다,작성일시 : 2021/10/22,답변완료
,,,,(처리완료)
26303,건설ㆍ교통,동명동카페거리불법주차너무많아요,작성일시 : 2021/10/21,답변완료
,,,,(처리중)
26301,보건ㆍ복지,독감백신접종,작성일시 : 2021/10/21,답변완료
,,,,(처리완료)
26298,공원ㆍ체육,너릿재 정자 보수 요청,작성일시 : 2021/10/21,답변완료
,,,,(처리완료)
26294,건설ㆍ교통,하수구함몰과 도로 파임,작성일시 : 2021/10/21,답변완료
,,,,(처리완료)
26291,건설ㆍ교통,광주광역시 동구 학동 소재 남광교와 학강교 구간의 천변우로 천변쪽 인도 바닥면 보수 및 개선 요청 드립니다.,작성일시 : 2021/10/21,답변완료
,,,,(처리중)
26287,기타,지적재조사계 홍춘경 주무관님 답변 바랍니다. 2,작성일시 : 2021/10/20,답변완료
,,,,(처리완료)
26275,도시ㆍ건축,"그랜드센트럴 107동 상가 1,2층 불법 구조변경에 관한 건",작성일시 : 2021/10/20,접수
26269,건설ㆍ교통,가로등 안전문제로 교체요구 실마유ㅠㅠㅠㅠ,작성일시 : 2021/10/20,답변완료
,,,,(처리완료)
26268,보건ㆍ복지,음식 재활용,작성일시 : 2021/10/20,답변완료
,,,,(처리완료)
26267,건설ㆍ교통,동네주차,작성일시 : 2021/10/19,답변완료
,,,,(처리중)
26266,건설ㆍ교통,학동조대부고 근처 소방도로공사,작성일시 : 2021/10/19,답변완료
,,,,(처리완료)
26265,도시ㆍ건축,가로정비사업? 안하시나요,작성일시 : 2021/10/19,답변완료
,,,,(처리완료)
26264,도시ㆍ건축,임택구청장님께 드리는 글입니다.,작성일시 : 2021/10/19,답변완료
,,,,(처리완료)
26259,건설ㆍ교통,주정차 및 역주행 문제,작성일시 : 2021/10/19,답변완료
,,,,(처리완료)
26255,환경ㆍ청소,청소행정과-답변감사드립니다,작성일시 : 2021/10/19,답변완료
,,,,(처리완료)
26253,건설ㆍ교통,아침부터 주차단속,작성일시 : 2021/10/19,답변완료
,,,,(처리중)
26252,도시ㆍ건축,불법건축물단속안하시나요?,작성일시 : 2021/10/18,답변완료
,,,,(처리완료)
26251,문화ㆍ경제,내남지구 도서관 현황,작성일시 : 2021/10/18,답변완료
,,,,(처리중)
26250,기타,주택가 개가 무리지어다닙니다,작성일시 : 2021/10/18,답변완료
,,,,(처리완료)
26245,환경ㆍ청소,드롭텁앞커피숍길가 쓰레기천지,작성일시 : 2021/10/18,답변완료
,,,,(처리완료)
26240,공원ㆍ체육,월남호반2차 공원 설치물 의 방향,작성일시 : 2021/10/18,답변완료
,,,,(처리완료)
26235,문화ㆍ경제,다수를 위한 소수의 희생은 당연한건가요,작성일시 : 2021/10/18,답변완료
,,,,(처리중)
26234,보건ㆍ복지,동구행복나눔 봉사단,작성일시 : 2021/10/16,답변완료
,,,,(처리완료)
26232,건설ㆍ교통,전신주 가로등 고장,작성일시 : 2021/10/16,답변완료
,,,,(처리완료)
26213,공원ㆍ체육,두암근린공원과 상가뒷길주차장쓰레기문제심각성,작성일시 : 2021/10/15,답변완료
,,,,(처리완료)
26203,기타,지적재조사계 홍춘경 주무관님 답변 바랍니다.,작성일시 : 2021/10/14,답변완료
,,,,(처리완료)
26202,기타,위반 건축에 대해서,작성일시 : 2021/10/14,답변완료
,,,,(처리완료)
26201,환경ㆍ청소,동구도 광산구처럼,작성일시 : 2021/10/14,답변완료
,,,,(처리완료)
26200,문화ㆍ경제,동명동 장동로와 동계천로 전선지중화공사,작성일시 : 2021/10/14,답변완료
,,,,(처리완료)
26198,건설ㆍ교통,가로등 설치 의견,작성일시 : 2021/10/14,답변완료
,,,,(처리완료)
26197,건설ㆍ교통,금남공원옆골목 주차 단속해주세요,작성일시 : 2021/10/14,답변완료
,,,,(처리중)
26188,기타,나무 부분 궁금합니다.,작성일시 : 2021/10/14,답변완료
,,,,(처리완료)
26187,도시ㆍ건축,지원로12번길 가로등 공사 및 보도블럭 공사로 보행불가능,작성일시 : 2021/10/14,답변완료
,,,,(처리완료)
26186,건설ㆍ교통,소태동 어르신들을 위한 인도가 절실히 필요합니다.,작성일시 : 2021/10/13,답변완료
,,,,(처리중)
26185,건설ㆍ교통,소방도로 공사 진행과 전주 이전에 관한 건,작성일시 : 2021/10/13,답변완료
,,,,(처리중)
26182,건설ㆍ교통,현수막 이전설치 부탁드립니다,작성일시 : 2021/10/13,답변완료
,,,,(처리완료)
26168,도시ㆍ건축,월남동 분산교 인근 공사,작성일시 : 2021/10/13,답변완료
,,,,(처리완료)
26167,건설ㆍ교통,가로등 설치가 필요합니다,작성일시 : 2021/10/13,답변완료
,,,,(처리완료)
26162,환경ㆍ청소,불법 광고물 철거 요청,작성일시 : 2021/10/12,답변완료
,,,,(처리중)
26161,건설ㆍ교통,9월30일자글에 대한 10월7일 답변 반박,작성일시 : 2021/10/12,답변완료
,,,,(중장기시행)
26152,건설ㆍ교통,아파트 정문 앞 유턴차선 신설로 인해 문제가 발생되고 있습니다. 시정 요청드립니다.,작성일시 : 2021/10/12,답변완료
,,,,(처리중)
26146,도시ㆍ건축,골목길 주차공간 사유화,작성일시 : 2021/10/12,답변완료
,,,,(처리완료)
26140,건설ㆍ교통,주차단속 등,작성일시 : 2021/10/11,답변완료
,,,,(처리완료)
26139,도시ㆍ건축,옆집 철거공사후 집이 흔들리고 금이가고 있어요,작성일시 : 2021/10/11,답변완료
,,,,(처리중)
26138,건설ㆍ교통,뭐 이런 어이없는 경우가...,작성일시 : 2021/10/11,답변완료
,,,,(처리중)
