분류,제목,날짜_월,날짜_일
환경청소,음식쓰레기 등 불법 투기,9,3
기타,판례가 어디 있나요 ,9,2
환경청소,소음,9,2
도시건축,그랜드센트럴 연기로 살수가 없습니다,9,2
건설교통,노인 보호구역 도로파손 ,9,2
환경청소,자동차 행상행위 및 확성기 소음,9,1
도시건축,지산구역재개발 원룸 지분쪼개기 검찰 송치,9,1
공원체육,우리도 실외 배드민턴장이 있었으면 좋겠어요,9,1
도시건축,물탱크 소음문제,9,1
환경청소,폐수 문제,9,1
도시건축,회의 성립 유무,9,1
환경청소,불법 폐기물 쓰레기 투기 신고합니다,9,1
도시건축,저질벽보 부착 건,8,31
건설교통,지하상가횡단보도 ,8,31
건설교통,공적도로 주차금표지판으로 도로점유,8,31
도시건축,건축과 답변 언제 하실건가요,8,31
도시건축,사업자선정지침 공사 확인,8,31
환경청소,소음,8,30
환경청소,아파트 산책로 주변 작물 경작실태,8,30
도시건축,공유토지분할특례법,8,30
공원체육,공원 관리에 관해서,8,30
환경청소,인도 잡초 제거 ,8,30
기타,이런건 어떨까요,8,29
건설교통,불법 저질벽보 부착 건,8,29
보건복지,백신 주사량 부적절,8,29
환경청소,소음,8,29
공원체육,계림동 그랜드센트럴 아파트 옆 중앙공원 인도 물고임 조치요청 ,8,27
건설교통,동산초교 옆 삼거리 신호등 요청합니다 ,8,27
기타,지적재조사 지상 경계 다툼에 대해서 ,8,27
환경청소,소음,8,26
건설교통,산수동 무등산전망대 폭주족,8,26
건설교통,어린이 보호구역 주차단속,8,26
건설교통,용산지구 울타리 관련,8,26
환경청소,소음,8,25
환경청소,소음,8,25
미담사례,르네상스 사업 ,8,25
환경청소,재활용,8,25
환경청소,학소로 번길 ,8,25
보건복지,동구 어린이집 심폐소생술 ,8,25
건설교통,버스정류장 도로 침하 ,8,25
도시건축, 오전시 무등산그린웰로제비앙 임원선출절차를 중지시켜 주시기 바랍니다 ,8,25
건설교통,구청장님께다시한번부탁드립니다,8,24
환경청소,구청장님께 드리는글 ,8,24
도시건축,수의계약 업무 처리 부당 ,8,24
건설교통,횡단보도 설치 건의 ,8,24
건설교통,동구 학소로 땅꺼짐,8,24
기타,냄새연기,8,24
건설교통,동구청버스정류장 도로침하 ,8,24
환경청소,칭찬합니다 ,8,24
건설교통,살레시오 정문앞 도로 무단 주정차 배달 오토바이 단속 해주세요 ,8,24
건설교통,산수동 그린웰 아파트옆 푸린길 개설도로,8,23
환경청소,종량제봉투 판매소 주문방법 변경 부탁드려요,8,23
건설교통,주차단속 및 중앙분리대 설치건의 ,8,23
건설교통,지산개통전 신호등과 과속카메라 부탁드립니다 ,8,23
환경청소,하수구 퇴적물 제거요청,8,23
건설교통,오토바이 주정차 ,8,23
기타,킥보드,8,23
환경청소,소음,8,23
